,spx,dax,ftse,nikkei
,,,,
Date,,,,
1994-01-10,475.2699890136719,2225.0,3440.60009765625,18443.439453125
1994-01-11,474.1300048828125,2228.10009765625,3413.800048828125,18485.25
1994-01-12,474.1700134277344,2182.06005859375,3372.0,18793.880859375
1994-01-13,472.4700012207031,2142.3701171875,3360.0,18577.259765625
1994-01-14,474.9100036621094,2151.050048828125,3400.60009765625,18973.69921875
1994-01-17,473.29998779296875,2115.56005859375,3407.800048828125,18725.369140625
1994-01-18,474.25,2130.35009765625,3437.0,18514.55078125
1994-01-19,474.29998779296875,2132.52001953125,3475.10009765625,19039.400390625
1994-01-20,474.9800109863281,2098.360107421875,3470.0,19183.919921875
1994-01-21,474.7200012207031,2073.93994140625,3484.199951171875,19307.4296875
1994-01-24,471.9700012207031,2107.2900390625,3481.39990234375,18353.240234375
1994-01-25,470.9200134277344,2090.780029296875,3444.0,18648.359375
1994-01-26,473.20001220703125,2128.659912109375,3436.10009765625,19138.2109375
1994-01-27,477.04998779296875,2123.31005859375,3427.300048828125,18891.7890625
1994-01-28,478.70001220703125,2156.610107421875,3447.39990234375,18757.880859375
1994-01-31,481.6099853515625,2192.60009765625,3491.800048828125,20229.119140625
1994-02-01,479.6199951171875,2181.8798828125,3481.5,20416.33984375
1994-02-02,482.0,2184.050048828125,3520.300048828125,20250.029296875
1994-02-03,480.7099914550781,2137.080078125,3491.5,20174.8203125
1994-02-04,469.80999755859375,2143.89990234375,3475.39990234375,20301.4296875
1994-02-07,471.760009765625,2095.110107421875,3419.10009765625,20014.400390625
1994-02-08,471.04998779296875,2099.570068359375,3440.199951171875,20251.23046875
1994-02-09,472.7699890136719,2116.429931640625,3429.10009765625,19841.380859375
1994-02-10,468.92999267578125,2119.68994140625,3407.0,19990.69921875
1994-02-11,470.17999267578125,2108.77001953125,3378.89990234375,19990.69921875
1994-02-14,470.2300109863281,2101.929931640625,3363.5,19459.25
1994-02-15,472.5199890136719,2130.7099609375,3393.199951171875,18974.599609375
1994-02-16,472.7900085449219,2135.25,3417.699951171875,19052.109375
1994-02-17,470.3399963378906,2162.2900390625,3425.300048828125,18931.390625
1994-02-18,467.69000244140625,2133.85009765625,3382.60009765625,18959.599609375
1994-02-21,467.69000244140625,2108.06005859375,3350.300048828125,19393.939453125
1994-02-22,471.4599914550781,2113.639892578125,3333.699951171875,19342.630859375
1994-02-23,470.69000244140625,2140.25,3341.89990234375,19341.830078125
1994-02-24,464.260009765625,2082.89990234375,3267.5,19765.48046875
1994-02-25,466.07000732421875,2075.330078125,3281.199951171875,19803.380859375
1994-02-28,467.1400146484375,2103.239990234375,3328.10009765625,19997.19921875
1994-03-01,464.44000244140625,2056.610107421875,3270.60009765625,20216.619140625
1994-03-02,464.80999755859375,2018.68994140625,3248.10009765625,19744.76953125
1994-03-03,463.010009765625,2044.449951171875,3246.5,19605.859375
1994-03-04,464.739990234375,2076.760009765625,3278.0,19966.0
1994-03-07,466.9100036621094,2132.1201171875,3305.89990234375,19811.880859375
1994-03-08,465.8800048828125,2125.469970703125,3264.39990234375,19898.390625
1994-03-09,467.05999755859375,2118.010009765625,3246.699951171875,19839.1796875
1994-03-10,463.8999938964844,2124.510009765625,3233.89990234375,20090.7109375
1994-03-11,466.44000244140625,2101.889892578125,3191.89990234375,20115.310546875
1994-03-14,467.3900146484375,2169.39990234375,3233.39990234375,20526.150390625
1994-03-15,467.010009765625,2178.909912109375,3267.39990234375,20508.849609375
1994-03-16,469.4200134277344,2168.110107421875,3242.89990234375,20677.76953125
1994-03-17,470.8999938964844,2160.449951171875,3255.699951171875,20592.16015625
1994-03-18,471.05999755859375,2140.389892578125,3218.10009765625,20469.44921875
1994-03-21,468.5400085449219,2130.550048828125,3198.0,20469.44921875
1994-03-22,468.79998779296875,2141.699951171875,3201.5,20253.529296875
1994-03-23,468.5400085449219,2162.9599609375,3155.300048828125,19962.099609375
1994-03-24,464.3500061035156,2144.360107421875,3121.699951171875,20037.900390625
1994-03-25,460.5799865722656,2144.0,3129.0,19836.48046875
1994-03-28,460.0,2167.719970703125,3129.5,19941.7890625
1994-03-29,452.4800109863281,2162.820068359375,3123.39990234375,19709.740234375
1994-03-30,445.54998779296875,2151.840087890625,3092.39990234375,19559.91015625
1994-03-31,445.7699890136719,2142.8798828125,3086.39990234375,19111.919921875
1994-04-01,445.7699890136719,2142.8798828125,3086.39990234375,19277.16015625
1994-04-04,438.9200134277344,2142.8798828125,3086.39990234375,19122.220703125
1994-04-05,448.2900085449219,2177.090087890625,3116.199951171875,19563.2109375
1994-04-06,448.04998779296875,2184.889892578125,3131.5,19696.740234375
1994-04-07,450.8800048828125,2202.570068359375,3129.0,19890.98046875
1994-04-08,447.1000061035156,2203.179931640625,3120.800048828125,19934.990234375
1994-04-11,449.8699951171875,2224.85009765625,3149.39990234375,19898.080078125
1994-04-12,447.57000732421875,2211.18994140625,3159.10009765625,19648.330078125
1994-04-13,446.260009765625,2215.18994140625,3145.800048828125,20060.41015625
1994-04-14,446.3800048828125,2198.239990234375,3131.699951171875,19987.19921875
1994-04-15,446.17999267578125,2211.919921875,3168.300048828125,20164.630859375
1994-04-18,442.4599914550781,2218.3701171875,3138.199951171875,20277.359375
1994-04-19,442.5400085449219,2193.889892578125,3128.0,20192.33984375
1994-04-20,441.9599914550781,2194.090087890625,3098.300048828125,19882.1796875
1994-04-21,448.7300109863281,2194.409912109375,3101.199951171875,19799.359375
1994-04-22,447.6300048828125,2218.1298828125,3133.699951171875,19964.390625
1994-04-25,452.7099914550781,2208.679931640625,3106.10009765625,19709.140625
1994-04-26,451.8699951171875,2241.360107421875,3125.300048828125,19628.9296875
1994-04-27,451.8699951171875,2256.97998046875,3150.0,19729.150390625
1994-04-28,449.1000061035156,2237.820068359375,3129.89990234375,19725.25
1994-04-29,450.9100036621094,2252.510009765625,3125.300048828125,19725.25
1994-05-02,453.0199890136719,2266.719970703125,3125.300048828125,19570.2109375
1994-05-03,453.0299987792969,2261.7099609375,3100.0,19570.2109375
1994-05-04,451.7200012207031,2241.85009765625,3070.5,19570.2109375
1994-05-05,451.3800048828125,2249.780029296875,3106.0,19570.2109375
1994-05-06,447.82000732421875,2233.550048828125,3106.0,19862.470703125
1994-05-09,442.32000732421875,2218.77001953125,3097.800048828125,19786.9609375
1994-05-10,446.010009765625,2241.340087890625,3136.300048828125,19917.779296875
1994-05-11,441.489990234375,2248.02001953125,3130.5,20150.130859375
1994-05-12,443.75,2248.02001953125,3137.800048828125,20224.240234375
1994-05-13,444.1400146484375,2257.330078125,3119.199951171875,20270.75
1994-05-16,444.489990234375,2272.9599609375,3115.60009765625,20188.439453125
1994-05-17,449.3699951171875,2268.110107421875,3123.5,20133.529296875
1994-05-18,453.69000244140625,2254.2099609375,3116.5,20152.73046875
1994-05-19,456.4800109863281,2245.7900390625,3122.800048828125,20221.33984375
1994-05-20,454.9200134277344,2238.969970703125,3127.300048828125,20342.169921875
1994-05-23,453.20001220703125,2238.969970703125,3108.39990234375,20568.7109375
1994-05-24,454.80999755859375,2188.010009765625,3089.10009765625,20622.119140625
1994-05-25,456.3399963378906,2137.56005859375,3020.699951171875,20663.630859375
1994-05-26,457.05999755859375,2146.0,3019.699951171875,20495.80078125
1994-05-27,457.3299865722656,2112.800048828125,2966.39990234375,20777.16015625
1994-05-30,457.3299865722656,2129.760009765625,2966.39990234375,20838.970703125
1994-05-31,456.5,2137.340087890625,2970.5,20973.58984375
1994-06-01,457.6300048828125,2113.6201171875,2931.89990234375,21053.109375
1994-06-02,457.6499938964844,2113.6201171875,2980.800048828125,21009.0
1994-06-03,460.1300048828125,2158.8798828125,2997.800048828125,20954.189453125
1994-06-06,458.8800048828125,2163.590087890625,3009.39990234375,20726.650390625
1994-06-07,458.2099914550781,2131.800048828125,3004.800048828125,21042.7109375
1994-06-08,457.05999755859375,2143.929931640625,3038.199951171875,21261.94921875
1994-06-09,457.8599853515625,2131.139892578125,3028.89990234375,21402.779296875
1994-06-10,458.6700134277344,2143.580078125,3055.89990234375,21395.1796875
1994-06-13,459.1000061035156,2084.419921875,3016.300048828125,21552.810546875
1994-06-14,462.3699951171875,2088.43994140625,3039.60009765625,21353.970703125
1994-06-15,460.6099853515625,2073.2099609375,3045.800048828125,21282.9609375
1994-06-16,461.92999267578125,2047.2900390625,3030.10009765625,21367.470703125
1994-06-17,458.45001220703125,2031.800048828125,3022.89990234375,21503.30078125
1994-06-20,455.4800109863281,1986.4200439453125,2971.10009765625,21152.029296875
1994-06-21,451.3399963378906,1957.0799560546875,2940.199951171875,20813.16015625
1994-06-22,453.0899963378906,2004.9300537109375,2960.39990234375,20581.3203125
1994-06-23,449.6300048828125,2032.52001953125,2942.39990234375,21040.2109375
1994-06-24,442.79998779296875,2005.0699462890625,2876.60009765625,20766.75
1994-06-27,447.30999755859375,2000.47998046875,2899.89990234375,20300.9609375
1994-06-28,446.07000732421875,2022.25,2909.0,20639.23046875
1994-06-29,447.6300048828125,2042.449951171875,2946.300048828125,20481.0
1994-06-30,444.2699890136719,2020.8499755859375,2919.199951171875,20643.9296875
1994-07-01,446.20001220703125,2040.68994140625,2936.39990234375,20543.41015625
1994-07-04,446.20001220703125,2061.699951171875,2970.39990234375,20631.9296875
1994-07-05,446.3699951171875,2034.6400146484375,2965.0,20834.369140625
1994-07-06,446.1300048828125,2031.3299560546875,2946.699951171875,20629.029296875
1994-07-07,448.3800048828125,2049.10009765625,2964.39990234375,20620.01953125
1994-07-08,449.54998779296875,2047.8299560546875,2962.39990234375,20526.509765625
1994-07-11,448.05999755859375,2069.4599609375,2983.800048828125,20473.08984375
1994-07-12,447.95001220703125,2048.570068359375,2963.89990234375,20400.48046875
1994-07-13,448.7300109863281,2051.25,3005.300048828125,20540.41015625
1994-07-14,453.4100036621094,2070.7099609375,3050.39990234375,20718.0390625
1994-07-15,454.1600036621094,2103.5400390625,3074.800048828125,20770.150390625
1994-07-18,455.2200012207031,2116.9599609375,3082.0,20717.640625
1994-07-19,453.8599853515625,2129.860107421875,3091.300048828125,20775.16015625
1994-07-20,451.6000061035156,2120.969970703125,3077.199951171875,20780.759765625
1994-07-21,452.6099853515625,2126.75,3095.10009765625,20622.919921875
1994-07-22,453.1099853515625,2148.22998046875,3114.699951171875,20462.890625
1994-07-25,454.25,2144.2099609375,3106.10009765625,20297.66015625
1994-07-26,453.3599853515625,2163.320068359375,3117.199951171875,20345.369140625
1994-07-27,452.57000732421875,2135.929931640625,3082.300048828125,20137.23046875
1994-07-28,454.239990234375,2134.1201171875,3095.89990234375,20247.849609375
1994-07-29,458.260009765625,2152.18994140625,3082.60009765625,20449.390625
1994-08-01,461.010009765625,2161.5,3097.39990234375,20271.349609375
