No,Cinsiyet,Yas,Hacim,Maas
1,K,60,69900,6325
2,K,30,79000,5200
3,E,52,85500,7825
4,E,57,17100,8375
5,E,55,5500,5450
6,E,68,27200,8550
7,E,41,20500,4500
8,E,20,69000,5050
9,K,33,13200,8325
10,E,37,31800,5975
11,K,33,59200,5700
12,E,21,95800,6475
13,E,48,46200,3850
14,E,46,29800,4100
15,K,68,83000,8125
16,K,35,143500,8650
17,E,72,91300,5125
18,K,20,9800,3950
19,K,26,79500,5325
20,E,60,66400,5775
21,K,49,25900,3400
22,K,22,0,7075
23,E,41,90900,5725
24,K,30,51800,4300
25,E,56,126800,7500
26,K,56,40800,5000
27,E,66,26400,5325
28,K,45,76100,5350
29,E,29,26500,2600
30,E,32,37200,6250
31,K,20,4000,3075
32,E,32,34500,4875
33,K,63,47100,5525
34,K,60,95600,7225
35,E,23,35400,5275
36,E,29,41100,6050
37,E,70,46400,3425
38,E,61,10400,4600
39,E,48,50100,4575
40,E,66,111300,8525
41,E,51,102700,8100
42,K,19,23700,4725
43,K,48,84300,7425
44,E,74,14800,6200
45,E,64,6400,5875
46,E,58,35900,4025
47,E,24,41600,4150
48,E,35,61000,5625
49,E,30,52800,5300
50,E,63,118500,6350
51,E,21,21500,5800
52,K,25,69200,6325
53,E,60,105600,8800
54,K,55,139000,8400
55,E,33,76300,5650
56,K,60,87600,6800
57,E,72,21800,4725
58,K,63,84100,5575
59,E,22,35700,3675
60,K,50,75400,5775
61,K,70,125000,7550
62,K,66,97100,6525
63,E,39,45900,4525
64,E,29,26600,7925
65,K,60,54400,8800
66,K,52,13600,4100
67,E,24,58000,5175
68,E,63,83700,6350
69,K,69,32100,6575
70,E,74,19000,4375
71,K,40,85500,5875
72,E,52,73600,9250
73,E,20,99000,6650
74,E,65,65700,7775
75,K,43,23200,3575
76,K,37,3700,7650
77,E,28,107200,7825
78,K,72,73800,8525
79,E,59,38400,5700
80,E,53,26500,8575
81,K,36,14400,3975
82,K,29,16600,4075
83,K,29,37900,4925
84,E,28,51900,4175
85,E,68,135500,7075
86,K,54,70600,7450
87,E,65,78600,8575
88,E,53,34500,3825
89,E,19,28500,4850
90,E,68,27200,6600
91,E,74,80400,8350
92,K,52,15600,7950
93,K,48,133700,7725
94,E,56,55200,6800
95,E,22,6600,3425
96,K,33,55700,7725
97,E,51,29400,4400
98,E,50,86100,9175
99,K,20,2000,5250
100,K,29,2900,2650
101,E,62,38400,6950
102,E,72,135600,9575
103,K,53,78100,7625
104,K,40,13600,2600
105,K,36,14400,7775
106,E,72,64200,9125
107,E,75,83400,8675
108,K,59,33600,4500
109,K,37,61900,5925
110,K,65,128500,6800
111,K,73,116200,9250
112,E,66,93000,5750
113,E,69,66800,10075
114,K,19,69400,5375
115,E,59,98100,5725
116,E,64,42000,3250
117,E,66,6600,8475
118,E,67,97900,7925
119,E,53,34700,2675
120,E,64,56800,9800
121,K,29,26400,5300
122,E,26,53800,4550
123,E,71,93600,6325
124,K,46,76200,5900
125,E,30,68000,5500
126,E,50,45400,4550
127,K,44,24900,2725
128,K,68,17100,3425
129,K,67,119700,8225
130,K,39,0,6150
131,K,29,24300,3225
132,K,33,48600,6425
133,E,48,51600,3725
134,E,73,59200,3500
135,K,31,53500,4375
136,E,25,0,6325
137,E,64,44800,5200
138,K,32,49200,4475
139,K,71,85900,4875
140,E,34,52500,6375
141,E,72,94000,6525
142,K,58,4400,3100
143,E,67,38700,8325
144,E,33,59400,5850
145,K,51,75000,8250
146,K,41,45800,5675
147,K,24,31200,5600
148,E,21,35300,4075
149,E,36,38000,3475
150,K,57,17100,6275
151,K,23,32400,4025
152,K,55,40400,4450
153,E,55,70400,6400
154,E,25,2500,4575
155,E,30,49200,7025
156,E,53,115500,6450
157,K,75,18800,2950
158,E,34,41800,4350
159,K,48,105700,6325
160,E,33,17500,5550
161,E,29,46400,4175
162,E,24,31200,3800
163,K,61,30500,8950
164,E,34,37100,4525
165,K,25,20700,4050
166,E,41,37400,4775
167,K,31,53600,4575
168,E,75,95100,7425
169,E,31,12400,8075
170,K,26,28500,6525
171,K,57,87500,4950
172,K,23,29500,6500
173,K,39,17300,6325
174,K,30,39000,6875
175,E,28,63500,5175
176,E,67,27700,8925
177,K,22,23300,7825
178,K,32,53600,5350
179,K,73,111800,8075
180,K,65,55400,5675
181,E,39,44700,4750
182,E,57,72900,6200
183,K,38,59700,6975
184,E,69,124800,9525
185,E,72,100700,6675
186,K,66,136200,9275
187,E,22,4400,4750
188,K,30,3000,7975
189,E,41,33300,6225
190,E,23,20600,2800
191,E,57,44700,5450
192,E,25,10000,2875
193,K,74,39200,5975
194,E,44,75600,6175
195,E,44,13200,5325
196,E,22,96600,7900
197,E,39,83700,7675
198,K,25,34000,4000
199,K,30,42000,5500
200,K,23,47600,4150
